name;coordinates
Petit Sablon;50.8400260704,4.35665845871
Garden of the Japanese Tower;50.8935038,4.3593315
Avenue de Versailleslaan;50.8971062244,4.37528257407
Petit Chemin Vert - Korte Groenweg;50.900833847,4.39484906774
Bois de la Cambre;50.8065643,4.3787212
de Meeûssquare;50.8401258824,4.36932496984
21 July Square;50.8806189548,4.35598901377
Meudon Park;50.8931528,4.3922478
Parc de Bruxelles;50.8442584,4.3635087
Ambiorix Square;50.8469226419,4.38354492188
Garden of the Chinese Pavilion;50.8936948471,4.36165809631
Cemetery of Haren;50.8928212998,4.42386069881
Park of the Saint-Michael and Gudula Cathedral;50.847830656,4.35820498214
Solarium;50.8912526333,4.37758559099
Jardins du Fleuriste - Tuinen van de Bloemist;50.8854256203,4.34802054393
Craetbos;50.8983539,4.3837497
Osseghem Park;50.8944933856,4.34790372849
Simone de Beauvoir Park (Fontainas Park);50.8458438437,4.34498842433
Cemetery of Neder-Over-Heembeek;50.8973378247,4.38934009633
Plaine de Hollande - Hollandersplein;50.8925090786,4.34468155554
King's Garden;50.8216117276,4.37155857981
Garden of the Mont des Arts;50.8447955174,4.35790300369
Jardin de la Vallée du Maelbeek - Maalbeekdaltuin;50.8439984981,4.37876365875
Cemetery of Laeken;50.879787,4.3527737
Egmont Park;50.8380747925,4.35704469681
Frère-Orbansquare;50.843445129,4.37111619259
Sobieski Park;50.8859671,4.3456602
Hallepoort Park;50.8328032241,4.34488892555
Square J. Jacobs - Jan Jacobsplein;50.8351807134,4.35210088584
Colonial Garden;50.8881182304,4.34509277344
Verregat Park;50.8993545603,4.33179840157
Val du Bois des Béguines - Begijnbosdal;50.9011180306,4.38824010472
Cité Modèle - Modelwijk;50.8946696823,4.32433984338
Haren Park;50.8970727211,4.41849617935
Maximilian Park;50.858491417,4.35007095337
Leopold Park;50.8393266,4.3777877
Square Jan Palfijnsquare;50.8934920301,4.3295690619
Cinquantenaire;50.8410182,4.3896216
Marie Popelin Park (Brigittines Park);50.8405823319,4.34720011877
t Oogenblik Park;50.8920446648,4.41696213121
Cemetery of Brussels;50.8667889738,4.41799689049
Espace Dolto - Doltoplein;50.8469717484,4.34227402881
Marguerite Durassquare;50.854168276,4.34653175634
Val Maria - Mariëndaal;50.9002485709,4.3824643561
Garden of the La Cambre Abbey;50.8171788346,4.37473431528
Quai au Foin - Hooikaai;50.8555266291,4.34964730423
Park of Laeken;50.8908524803,4.35367584229
Square Prince Leopoldsquare;50.8836904392,4.34067914285
Passage Ter Helst - Doorgang Ter Elst;50.8959223437,4.41981582618
Kortenbach Park;50.8929447433,4.41701577539
